Summary:
Number of strings read: 256
Number of strings stored in hash table: 256
Number of strings in their home addresses: 141
Number of collisions: 115
Average number of string comparisons: 10.777344

Index    Key               Home Index    In Home    Comparisons
-------------------------------------------------------------
0        EBpMNz            0             YES        1          
1        1zZbtKSt1         1             YES        1          
2        QTQqn1uk1M        178           NO         177        
3        Lojolypos         256           NO         254        
4        xd5NhH8lP2        4             YES        1          
5        HWBNno            5             YES        1          
6        9KqFu             6             YES        1          
7        wNnGcWZ           7             YES        1          
8        Xd                7             NO         2          
9        nzhojei2          9             YES        1          
10       yDi               10            YES        1          
11       3xyalB            11            YES        1          
12       whe9TWXy          12            YES        1          
13       NU6OQ             7             NO         7          
14       l3x               8             NO         7          
15       Jj                5             NO         11         
16       qHk               16            YES        1          
17       jayShp            220           NO         204        
18       Es                18            YES        1          
19       juHkIJfgD         9             NO         11         
20       zY                19            NO         2          
21       Gk93a             21            YES        1          
22       PQWyX             22            YES        1          
23       0AFlQcNYIj        17            NO         7          
24       nAYZ              24            YES        1          
25       Bx                25            YES        1          
26       mSyovYK           202           NO         177        
27       iS28qvltd         6             NO         22         
28       VVB3nT            28            YES        1          
29       p2262po           29            YES        1          
30       z0npwp            15            NO         16         
31       fSx4dhjJ04        31            YES        1          
32       bWUW              32            YES        1          
33       2JwP              32            NO         2          
34       bV                270           NO         237        
35       iajXbZ            32            NO         4          
36       NiWV3SY           21            NO         16         
37       VDQgRnQscM        37            YES        1          
38       JGXg6             38            YES        1          
39       ljKdzIVv4l        29            NO         11         
40       TZpnedUT          40            YES        1          
41       cbW3oEeW          41            YES        1          
42       SidI              42            YES        1          
43       FEeSiW            204           NO         162        
44       pi                41            NO         4          
45       Ib9p              45            YES        1          
46       Vx                45            NO         2          
47       Dhm               41            NO         7          
48       0                 48            YES        1          
49       vREbflXr3P        49            YES        1          
50       jfPYe6            49            NO         2          
51       2B9A              51            YES        1          
52       tNr               52            YES        1          
53       Jwd               50            NO         4          
54       so84zwv           53            NO         2          
55       big               55            YES        1          
56       ev                56            YES        1          
57       chOpoGq0          57            YES        1          
58       7                 55            NO         4          
59       YXfQ9             56            NO         4          
60       2                 50            NO         11         
61       OcP7dF5           61            YES        1          
62       ---               ---           ---        ---        
63       ---               ---           ---        ---        
64       ClDi              64            YES        1          
65       K3cAH5ZE          65            YES        1          
66       B                 66            YES        1          
67       C                 67            YES        1          
68       D                 68            YES        1          
69       E                 69            YES        1          
70       QpKRC             69            NO         2          
71       WccS              71            YES        1          
72       VCKR5pW           71            NO         2          
73       CsbGx             70            NO         4          
74       G                 71            NO         4          
75       H                 72            NO         4          
76       ccwmbVefJ         70            NO         7          
77       z3dD3u            67            NO         11         
78       N                 78            YES        1          
79       hLkRS3TWOC        76            NO         4          
80       UAbp00            80            YES        1          
81       Jb91              75            NO         7          
82       Mbox28rV          67            NO         16         
83       ---               ---           ---        ---        
84       T                 84            YES        1          
85       Zzz9              85            YES        1          
86       j8nlpWu           71            NO         16         
87       iOEs              87            YES        1          
88       q52pO             88            YES        1          
89       Y                 89            YES        1          
90       UZfOiuH           89            NO         2          
91       U                 85            NO         7          
92       ---               ---           ---        ---        
93       Bku5G2            93            YES        1          
94       2OeYF             93            NO         2          
95       q79dPx15RY        94            NO         2          
96       1HCT1mFb          93            NO         4          
97       SJUnCqP3          97            YES        1          
98       Rky               97            NO         2          
99       GE7               93            NO         7          
100      7Hnf              94            NO         7          
101      fBo5X             95            NO         7          
102      X5jQoq            102           YES        1          
103      wzsM6R0PF         12            NO         92         
104      yLJdX2Qj3Q        104           YES        1          
105      3IA4SA5vT         104           NO         2          
106      ---               ---           ---        ---        
107      WQzwgXtkY         107           YES        1          
108      gEWaZKUecP        107           NO         2          
109      huZV              109           YES        1          
110      S8rOL             109           NO         2          
111      ---               ---           ---        ---        
112      NPeLDVPWy         112           YES        1          
113      ---               ---           ---        ---        
114      r                 114           YES        1          
115      s                 115           YES        1          
116      ---               ---           ---        ---        
117      CU0gLI4w          117           YES        1          
118      v                 118           YES        1          
119      xHfKYP            109           NO         11         
120      sf7hJThOl3        120           YES        1          
121      h4Yz              120           NO         2          
122      1OSdD7            121           NO         2          
123      z                 122           NO         2          
124      4UdVf7ec          114           NO         11         
125      ---               ---           ---        ---        
126      rk3Ypq4djG        126           YES        1          
127      wk8h1phR          127           YES        1          
128      aQ8lbtjeT3        84            NO         45         
129      R9oo8             129           YES        1          
130      wms               120           NO         11         
131      ---               ---           ---        ---        
132      u                 117           NO         16         
133      ---               ---           ---        ---        
134      Fx                29            NO         106        
135      dIe6F2W39         135           YES        1          
136      Er                16            NO         121        
137      ---               ---           ---        ---        
138      DB4AI             138           YES        1          
139      Fc5XkU            138           NO         2          
140      a0zj              140           YES        1          
141      YLtp6C7H          141           YES        1          
142      ---               ---           ---        ---        
143      emr1R             143           YES        1          
144      ---               ---           ---        ---        
145      ---               ---           ---        ---        
146      mxdQl2pP          146           YES        1          
147      4DP               147           YES        1          
148      hM9               148           YES        1          
149      gJdIm0VU          148           NO         2          
150      iB8qANwIHA        150           YES        1          
151      E2t9j             151           YES        1          
152      g6Pv7             74            NO         79         
153      7wTXVELy          150           NO         4          
154      aGbKzp            148           NO         7          
155      5OeV5OK           155           YES        1          
156      ISZa4DEr          150           NO         7          
157      WhFiU7y7          157           YES        1          
158      07                158           YES        1          
159      Q1I8L             159           YES        1          
160      JExthcdb3         159           NO         2          
161      zjVCrWEC          161           YES        1          
162      Z9gvUdVYu         162           YES        1          
163      7aNcM7dx          163           YES        1          
164      cIyc              161           NO         4          
165      x                 120           NO         46         
166      ---               ---           ---        ---        
167      wkCdohMm          152           NO         16         
168      uPD6w             168           YES        1          
169      5RDHGU            169           YES        1          
170      pHcs              170           YES        1          
171      ---               ---           ---        ---        
172      Zeu               81            NO         92         
173      DnmXB             173           YES        1          
174      ---               ---           ---        ---        
175      HskMC8cDw0        175           YES        1          
176      9Qtq              176           YES        1          
177      PrKCiQcLQ7        177           YES        1          
178      urf6TdJz2         178           YES        1          
179      mptxoHx           178           NO         2          
180      cfxkd548cN        177           NO         4          
181      wbNstuyW          181           YES        1          
182      V0LSPJ            181           NO         2          
183      EkuUia2           183           YES        1          
184      5o                275           NO         92         
185      s1MHSn2h          179           NO         7          
186      F5                176           NO         11         
187      Z9X               187           YES        1          
188      4dH               187           NO         2          
189      Cx85YM            189           YES        1          
190      1qVbJ2            190           YES        1          
191      ---               ---           ---        ---        
192      lKp3pps8          192           YES        1          
193      NRa6              187           NO         7          
194      ---               ---           ---        ---        
195      hXa6JLIT58        180           NO         16         
196      iAB4qo            186           NO         11         
197      h7X               197           YES        1          
198      kHzqVBI62         197           NO         2          
199      AC                199           YES        1          
200      rYs3wK            200           YES        1          
201      2oE               198           NO         4          
202      iFZhO             202           YES        1          
203      vwOz43mYqT        202           NO         2          
204      9FxS1iqJiu        204           YES        1          
205      532Mpcb           205           YES        1          
206      iVqtLEc8          205           NO         2          
207      31aR              206           NO         2          
208      5tUwSrAuFq        208           YES        1          
209      6exTNkVQe         209           YES        1          
210      a8                209           NO         2          
211      I001m             211           YES        1          
212      18lK6             212           YES        1          
213      0rbVc4rU4L        212           NO         2          
214      dUK               214           YES        1          
215      dHU0Gsg           209           NO         7          
216      l6                216           YES        1          
217      V5f               217           YES        1          
218      mu4               218           YES        1          
219      9L                209           NO         11         
220      uqTu              220           YES        1          
221      im05M             221           YES        1          
222      e7a               221           NO         2          
223      jv0Dzv8           220           NO         4          
224      87q               224           YES        1          
225      LSPrQ             219           NO         7          
226      PD                216           NO         11         
227      LYzl1Q5cwF        221           NO         7          
228      4gheuj            228           YES        1          
229      hIyXK1            229           YES        1          
230      IpG               229           NO         2          
231      UI                231           YES        1          
232      ps6ld0l           232           YES        1          
233      L0wIZpu           233           YES        1          
234      ---               ---           ---        ---        
235      3x5W7Ed5n         229           NO         7          
236      ehft              236           YES        1          
237      V5                192           NO         46         
238      6odUCEyC          238           YES        1          
239      7IMM9g            238           NO         2          
240      hWE               204           NO         37         
241      t1cI              241           YES        1          
242      FV                242           YES        1          
243      k2                207           NO         37         
244      0DyRb             241           NO         4          
245      G73v              244           NO         2          
246      yOnqv             246           YES        1          
247      9QO7Bw0Z          247           YES        1          
248      dzdYUsq6          247           NO         2          
249      AIIh1             248           NO         2          
250      n8nZAi8gz         247           NO         4          
251      duXcK             245           NO         7          
252      jtB4HOKpdq        252           YES        1          
253      RpL               253           YES        1          
254      BPKLKHZWR         254           YES        1          
255      Jv964l            200           NO         56         
256      JhM6IyAOCD        256           YES        1          
257      vQV               257           YES        1          
258      M4El              258           YES        1          
259      0e7kl             259           YES        1          
260      F1VkxR            260           YES        1          
261      vF                258           NO         4          
262      GC4804Cq          262           YES        1          
263      jmEwL             263           YES        1          
264      ---               ---           ---        ---        
265      HfVVe             259           NO         7          
266      laRF              266           YES        1          
267      ---               ---           ---        ---        
268      M8x               268           YES        1          
269      nO                268           NO         2          
270      Hc                270           YES        1          
271      vXcGh             271           YES        1          
272      ---               ---           ---        ---        
273      9ga               273           YES        1          
274      Bh                274           YES        1          
275      OBfpvryF          274           NO         2          
276      iQpvkqpH          276           YES        1          
277      qqRImcjo          274           NO         4          
278      qLHtdNQ4s         278           YES        1          
279      ---               ---           ---        ---        
280      Am4oa7k7nv        280           YES        1          
